year,ActorId,Name,MovieId,Title,genre,Country,gross
2006,1033,John Leguizamo,845,Ice Age: The Meltdown,Comedy,America,118.75
2001,1033,John Leguizamo,623,Moulin Rouge!,Romance,America,119.75
1996,1033,John Leguizamo,500,Romeo + Juliet,Romance,Asia,61.5
2008,1033,John Leguizamo,76,The Happening,Sci-Fi,America,145.25
2001,237,John Lithgow,679,Shrek,Comedy,America,122.25
2001,995,John Lone,253,Rush Hour 2,Comedy,America,5
1984,1595,John Louie,460,Gremlins,Comedy,America,120.5
1996,471,John Mahoney,786,Primal Fear,Drama,America,103.5
1999,1402,John Malkovich,93,Being John Malkovich,Comedy,Asia,70
2008,1402,John Malkovich,858,Burn After Reading,Comedy,America,84.5
1997,1402,John Malkovich,205,Con Air,#N/A,America,37.75
2013,1402,John Malkovich,127,Warm Bodies,Romance,America,7.25
1962,991,John Megna,712,To Kill a Mockingbird,Drama,Other countries,125.5
2008,1764,John Michael Higgins,708,Yes Man,Romance,Other countries,128.25
2009,263,John Ratzenberger,103,Up,Comedy,America,60.75
1981,1052,John Rhys-Davies,700,Raiders of the Lost Ark,#N/A,America,19
1978,656,John Savage,283,The Deer Hunter,Drama,America,120
#N/A,967,John Saxon,272,A Nightmare on Elm Street,#N/A,#N/A,#N/A
2004,1799,John Sharian,926,The Machinist,Drama,Other countries,107
1996,430,John Spencer,353,The Rock,#N/A,America,74.5
2008,1090,John Travolta,824,Bolt,Comedy,America,99.75
1997,1090,John Travolta,671,Face/Off,#N/A,Other countries,92
1978,1090,John Travolta,601,Grease,Romance,America,184.5
1994,1090,John Travolta,151,Pulp Fiction,Drama,America,78.25
2001,1090,John Travolta,443,Swordfish,#N/A,Asia,24.75
2009,1090,John Travolta,961,The Taking of Pelham 123,#N/A,Other countries,90.25
2000,171,John Turturro,922,"O Brother, Where Art Thou?",Comedy,Asia,53.75
2004,171,John Turturro,875,Secret Window,Drama,America,27
2008,171,John Turturro,955,You Don't Mess with the Zohan,Comedy,Other countries,97.25
#N/A,177,Johnny Depp,272,A Nightmare on Elm Street,#N/A,#N/A,#N/A
2010,177,Johnny Depp,266,Alice in Wonderland,#N/A,America,227
2001,177,Johnny Depp,975,Blow,Biography,Asia,15
2005,177,Johnny Depp,95,Charlie and the Chocolate Factory,Comedy,America,129.25
2005,177,Johnny Depp,191,Corpse Bride,Drama,America,151.75
2012,177,Johnny Depp,33,Dark Shadows,Comedy,America,144.75
1997,177,Johnny Depp,49,Donnie Brasco,Biography,America,147
1990,177,Johnny Depp,621,Edward Scissorhands,Romance,America,113.25
1998,177,Johnny Depp,444,Fear and Loathing in Las Vegas,Comedy,Other countries,58.5
2004,177,Johnny Depp,831,Finding Neverland,Biography,America,87.25
2007,177,Johnny Depp,691,Pirates of the Caribbean: At World's End,#N/A,America,112.5
2006,177,Johnny Depp,495,Pirates of the Caribbean: Dead Man's Chest,#N/A,Europe,5.25
2011,177,Johnny Depp,409,Pirates of the Caribbean: On Stranger Tides,#N/A,America,105.25
2003,177,Johnny Depp,756,Pirates of the Caribbean: The Curse of the Black Pearl,#N/A,America,56.5
2009,177,Johnny Depp,450,Public Enemies,Biography,America,38.25
2011,177,Johnny Depp,187,Rango,Comedy,America,68
2004,177,Johnny Depp,875,Secret Window,Drama,America,27
1999,177,Johnny Depp,237,Sleepy Hollow,#N/A,America,94.5
2007,177,Johnny Depp,811,Sweeney Todd: The Demon Barber of Fleet Street,Drama,America,142.5
2013,177,Johnny Depp,256,The Lone Ranger,#N/A,Asia,8.5
2010,177,Johnny Depp,202,The Tourist,#N/A,Other countries,165.25
2014,177,Johnny Depp,307,Transcendence,Drama,Asia,74.25
1993,177,Johnny Depp,318,What's Eating Gilbert Grape,Drama,Other countries,41
2000,1246,Jon Abrahams,699,Scary Movie,Comedy,America,162.25
2015,645,Jon Bernthal,952,Sicario,Drama,America,133.5
2016,645,Jon Bernthal,921,The Accountant,Drama,America,109
2013,673,Jon Daly,148,The Secret Life of Walter Mitty,Comedy,America,110.75
2014,1311,Jon Favreau,259,Chef,Comedy,America,19
2004,1144,Jon Gries,881,Napoleon Dynamite,Comedy,Asia,10.75
2015,211,Jon Hamm,761,Minions,Animation,Asia,7.25
2010,211,Jon Hamm,843,The Town,Drama,America,209.25
2004,1731,Jon Heder,881,Napoleon Dynamite,Comedy,Asia,10.75
1999,1709,Jon Stewart,935,Big Daddy,Comedy,America,146.5
1998,981,Jon Voight,275,Enemy of the State,#N/A,America,61.5
1995,981,Jon Voight,489,Heat,Drama,Asia,61.25
2001,981,Jon Voight,440,Lara Croft: Tomb Raider,#N/A,America,65.75
1996,981,Jon Voight,692,Mission: Impossible,#N/A,Asia,14.25
2007,981,Jon Voight,58,National Treasure: Book of Secrets,#N/A,Other countries,105.25
2012,251,Jonah Hill,263,21 Jump Street,Comedy,America,16.5
2014,251,Jonah Hill,574,22 Jump Street,Comedy,Other countries,108.75
2010,251,Jonah Hill,27,Get Him to the Greek,Music,Other countries,177.25
2010,251,Jonah Hill,887,Megamind,Comedy,America,140
2011,251,Jonah Hill,948,Moneyball,Biography,Other countries,104.5
2007,251,Jonah Hill,77,Superbad,Comedy,America,131.25
2013,251,Jonah Hill,108,The Wolf of Wall Street,Biography,America,99
2013,251,Jonah Hill,13,This Is the End,Comedy,America,114.25
2004,123,Jonathan Bennett,230,Mean Girls,Comedy,Europe,9
2012,98,Jonathan Daniel Brown,476,Project X,Comedy,America,112.25
1992,947,Jonathan Freeman,732,Aladdin,Comedy,America,97.25
2013,387,Jonathan Groff,277,Frozen,Comedy,America,155.25
1995,206,Jonathan Hyde,729,Jumanji,Comedy,America,125
1984,265,Jonathan Ke Quan,482,Indiana Jones and the Temple of Doom,#N/A,Asia,16.75
1985,1789,Jonathan Pryce,199,Brazil,Drama,America,47.75
1997,1789,Jonathan Pryce,819,Tomorrow Never Dies,#N/A,America,197.25
2005,990,Jonathan Rhys Meyers,317,Match Point,Romance,America,35
2008,422,Jonathan Roumie,911,Revolutionary Road,Romance,America,164.5
1996,105,Jonny Lee Miller,75,Trainspotting,Drama,America,181
2009,1109,Jordan Nagai,103,Up,Comedy,America,60.75
2009,706,Jordana Brewster,674,Fast & Furious,#N/A,America,197.25
2011,706,Jordana Brewster,552,Fast Five,#N/A,America,56
#N/A,706,Jordana Brewster,998,The Fast and the Furious,#N/A,#N/A,#N/A
2003,184,Jordi Mollà,924,Bad Boys II,Comedy,Other countries,152
2010,184,Jordi Mollà,441,Knight and Day,Comedy,Other countries,141
2006,641,Jose Pablo Cantillo,797,Crank,#N/A,Europe,38.75
2007,1681,Josef Altin,478,Eastern Promises,Drama,America,143.75
#N/A,344,Joseph Cotten,437,Citizen Kane,Drama,#N/A,#N/A
2001,1610,Joseph Fiennes,451,Enemy at the Gates,Drama,America,56
1998,1610,Joseph Fiennes,186,Shakespeare in Love,Comedy,America,68
#N/A,1119,Joseph Gordon-Levitt,894,(500) Days of Summer,Romance,#N/A,#N/A
1999,1119,Joseph Gordon-Levitt,529,10 Things I Hate About You,Romance,Europe,9.25
2011,1119,Joseph Gordon-Levitt,117,50/50,Romance,America,19.25
2013,1119,Joseph Gordon-Levitt,648,Don Jon,Romance,Other countries,148.75
2010,1119,Joseph Gordon-Levitt,913,Inception,#N/A,America,101.75
2012,1119,Joseph Gordon-Levitt,177,Lincoln,Biography,Other countries,134.25
2012,1119,Joseph Gordon-Levitt,751,Looper,Drama,America,30.75
1995,1816,Joseph Melito,414,Twelve Monkeys,#N/A,America,46.25
2007,1270,Josh Brolin,160,American Gangster,Biography,America,114.25
#N/A,1270,Josh Brolin,367,Men in Black 3,Comedy,#N/A,#N/A
2007,1270,Josh Brolin,997,No Country for Old Men,Drama,America,112
2007,1270,Josh Brolin,638,Planet Terror,Comedy,America,50.75
2015,1270,Josh Brolin,952,Sicario,Drama,America,133.5
1985,1270,Josh Brolin,803,The Goonies,Comedy,Asia,12.25
2010,1270,Josh Brolin,995,True Grit,Drama,Other countries,143.75
1989,682,Josh Charles,520,Dead Poets Society,Comedy,America,141
2007,1524,Josh Duhamel,656,Transformers,#N/A,America,39.5
2011,1524,Josh Duhamel,865,Transformers: Dark of the Moon,#N/A,Other countries,133
2009,1524,Josh Duhamel,725,Transformers: Revenge of the Fallen,#N/A,Other countries,175.25
2013,1047,Josh Gad,277,Frozen,Comedy,America,155.25
#N/A,1453,Josh Hartnett,468,Black Hawk Down,Drama,#N/A,#N/A
2006,1453,Josh Hartnett,211,Lucky Number Slevin,Drama,America,31.5
2001,1453,Josh Hartnett,239,Pearl Harbor,Drama,Asia,45.75
2012,1476,Josh Hutcherson,20,The Hunger Games,Sci-Fi,America,39.25
2013,1476,Josh Hutcherson,676,The Hunger Games: Catching Fire,#N/A,America,129
2014,1476,Josh Hutcherson,973,The Hunger Games: Mockingjay - Part 1,#N/A,America,99
2015,1476,Josh Hutcherson,423,The Hunger Games: Mockingjay - Part 2,#N/A,Other countries,139.25
1997,287,Josh Keaton,808,Hercules,Comedy,America,83.75
2000,1521,Josh Lucas,508,American Psycho,Drama,America,81.25
2003,1521,Josh Lucas,292,Hulk,#N/A,America,104.5
1999,669,Joshua Leonard,707,The Blair Witch Project,#N/A,America,165.5
1985,1074,Judd Nelson,770,The Breakfast Club,Comedy,America,38.75
2004,1508,Jude Law,823,A Series of Unfortunate Events,Comedy,America,132
2001,1508,Jude Law,916,Artificial Intelligence: AI,Drama,America,85.5
2004,1508,Jude Law,361,Closer,Romance,Other countries,126.25
2011,1508,Jude Law,492,Contagion,Drama,America,189
2001,1508,Jude Law,451,Enemy at the Gates,Drama,America,56
1997,1508,Jude Law,132,Gattaca,Drama,America,154.5
2009,1508,Jude Law,50,Sherlock Holmes,#N/A,Other countries,169.25
2011,1508,Jude Law,44,Sherlock Holmes: A Game of Shadows,#N/A,Asia,16.5
2013,1508,Jude Law,851,Side Effects,Drama,Other countries,125.25
2015,1508,Jude Law,611,Spy,Comedy,Asia,13.5
2006,1508,Jude Law,661,The Holiday,Romance,America,50.75
1999,1508,Jude Law,125,The Talented Mr. Ripley,Drama,America,65.75
2006,756,Judi Dench,859,Casino Royale,#N/A,America,97.5
2000,756,Judi Dench,746,Chocolat,Romance,Asia,8.25
#N/A,756,Judi Dench,169,Quantum of Solace,#N/A,#N/A,#N/A
2012,756,Judi Dench,846,Skyfall,#N/A,America,79.25
2004,756,Judi Dench,511,The Chronicles of Riddick,#N/A,America,182.5
1939,165,Judy Garland,546,The Wizard of Oz,#N/A,America,68
2015,784,Judy Greer,632,Jurassic World,#N/A,Other countries,89.75
2010,784,Judy Greer,927,Love & Other Drugs,Romance,Asia,14.5
1998,1715,Julia Louis-Dreyfus,807,A Bug's Life,Comedy,America,118.5
#N/A,604,Julia Ormond,279,The Curious Case of Benjamin Button,Romance,#N/A,#N/A
2004,704,Julia Roberts,361,Closer,Romance,Other countries,126.25
1991,704,Julia Roberts,45,Hook,Comedy,America,111.75
1999,704,Julia Roberts,612,Notting Hill,Romance,Other countries,185.75
#N/A,704,Julia Roberts,68,Ocean's Eleven,#N/A,#N/A,#N/A
#N/A,704,Julia Roberts,373,Ocean's Twelve,#N/A,#N/A,#N/A
1990,704,Julia Roberts,223,Pretty Woman,Romance,Other countries,158.75
2000,518,Julia Sawalha,577,Chicken Run,Comedy,America,96.75
1999,1085,Julia Stiles,529,10 Things I Hate About You,Romance,Europe,9.25
#N/A,1085,Julia Stiles,772,The Bourne Ultimatum,#N/A,#N/A,#N/A
2004,415,Julian Glover,994,Troy,Drama,Other countries,136.5
2004,232,Juliane Köhler,426,Der Untergang,Biography,America,97.25
1997,640,Julianne Moore,647,Boogie Nights,Drama,America,19.75
2006,640,Julianne Moore,954,Children of Men,Drama,America,150.75
2011,640,Julianne Moore,483,"Crazy, Stupid, Love.",Romance,America,27.75
2013,640,Julianne Moore,648,Don Jon,Romance,Other countries,148.75
2001,640,Julianne Moore,397,Hannibal,Drama,Other countries,82.25
1999,640,Julianne Moore,992,Magnolia,Drama,America,116.75
2014,640,Julianne Moore,820,Non-Stop,#N/A,America,115
1998,640,Julianne Moore,497,The Big Lebowski,Comedy,Europe,12.5
1993,640,Julianne Moore,376,The Fugitive,Drama,America,83.25
1997,640,Julianne Moore,48,The Lost World: Jurassic Park,Sci-Fi,America,127.25
#N/A,37,Julie Andrews,931,Despicable Me,Comedy,#N/A,#N/A
2004,37,Julie Andrews,72,Shrek 2,Comedy,Other countries,172.5
1965,37,Julie Andrews,789,The Sound of Music,Biography,America,116.25
2008,540,Julie Benz,167,Rambo,#N/A,America,131.5
1996,203,Julie Bowen,568,Happy Gilmore,Comedy,Asia,29.75
2004,1439,Julie Christie,831,Finding Neverland,Biography,America,87.25
1995,699,Julie Delpy,825,Before Sunrise,Romance,America,57.25
2004,699,Julie Delpy,106,Before Sunset,Romance,America,99.5
1980,262,Julie Hagerty,902,Airplane!,Comedy,Other countries,108
2007,553,Julie Kavner,7,The Simpsons Movie,Comedy,America,106.75
#N/A,988,Julie Walters,51,Brave,Comedy,#N/A,#N/A
2012,439,Juliet Rylance,200,Sinister,#N/A,Other countries,162.75
2000,1315,Juliette Binoche,746,Chocolat,Romance,Asia,8.25
1996,1315,Juliette Binoche,817,The English Patient,Romance,America,106
1996,21,Juliette Lewis,826,From Dusk Till Dawn,#N/A,America,114.25
1994,21,Juliette Lewis,506,Natural Born Killers,Drama,America,185.5
1993,21,Juliette Lewis,318,What's Eating Gilbert Grape,Drama,Other countries,41
1981,515,Jürgen Prochnow,333,Das Boot,Drama,Other countries,70.25
2004,3,Justin Bartha,154,National Treasure,#N/A,America,150.25
2007,3,Justin Bartha,58,National Treasure: Book of Secrets,#N/A,Other countries,105.25
#N/A,3,Justin Bartha,909,The Hangover,Comedy,#N/A,#N/A
2011,3,Justin Bartha,978,The Hangover Part II,Comedy,America,150.25
2013,3,Justin Bartha,111,The Hangover Part III,Comedy,America,107
2009,1372,Justin Long,382,Drag Me to Hell,#N/A,Other countries,128.25
2007,1372,Justin Long,972,Live Free or Die Hard,#N/A,Asia,61.5
2000,1518,Justin Theroux,508,American Psycho,Drama,America,81.25
#N/A,1518,Justin Theroux,212,Mulholland Dr.,Drama,#N/A,#N/A
2011,1400,Justin Timberlake,867,Bad Teacher,Romance,Asia,32.5
2011,1400,Justin Timberlake,914,Friends with Benefits,Romance,Other countries,25.5
2011,1400,Justin Timberlake,35,In Time,Drama,America,34.5
2010,1400,Justin Timberlake,475,The Social Network,Biography,America,96
2008,705,Ka Tung Lam,408,Yip Man,Biography,Asia,16.5
2006,1766,Kagiso Kuypers,733,Blood Diamond,Drama,Other countries,71.75
2016,950,Kaitlin Olson,457,Finding Dory,Comedy,Other countries,164.75
2004,146,Kal Penn,306,Harold & Kumar Go to White Castle,Comedy,Asia,70
2012,946,Kara Hayward,254,Moonrise Kingdom,Comedy,America,73.5
2008,1000,Kåre Hedebrant,714,Låt den rätte komma in,Romance,America,80
1980,1096,Kareem Abdul-Jabbar,902,Airplane!,Comedy,Other countries,108
2008,1463,Karen Allen,105,Indiana Jones and the Kingdom of the Crystal Skull,#N/A,America,37
1981,1463,Karen Allen,700,Raiders of the Lost Ark,#N/A,America,19
#N/A,1411,Karen Disher,890,Rio,Comedy,#N/A,#N/A
2011,44,Karin Konoval,419,Rise of the Planet of the Apes,Drama,America,73.5
2004,1425,Karina Arroyave,417,Crash,Drama,Asia,97
2012,1461,Karl Urban,936,Dredd,#N/A,Other countries,129.25
2016,1461,Karl Urban,654,Star Trek Beyond,#N/A,Other countries,159.5
1991,709,Kasi Lemmons,872,The Silence of the Lambs,Drama,America,146.25
#N/A,1267,Kate Ashfield,702,Shaun of the Dead,Comedy,#N/A,#N/A
#N/A,175,Kate Beckinsale,734,Click,Comedy,#N/A,#N/A
2001,175,Kate Beckinsale,239,Pearl Harbor,Drama,Asia,45.75
2004,175,Kate Beckinsale,644,The Aviator,Biography,America,39.25
2012,175,Kate Beckinsale,841,Total Recall 2,#N/A,Asia,31.5
2003,175,Kate Beckinsale,338,Underworld,#N/A,America,78.25
#N/A,175,Kate Beckinsale,576,Underworld: Evolution,#N/A,#N/A,#N/A
2004,175,Kate Beckinsale,296,Van Helsing,#N/A,Other countries,77.25
#N/A,326,Kate Bosworth,3,21,Drama,#N/A,#N/A
2006,326,Kate Bosworth,693,Superman Returns,#N/A,America,34.75
1984,633,Kate Capshaw,482,Indiana Jones and the Temple of Doom,#N/A,Asia,16.75
2000,1483,Kate Hudson,488,Almost Famous,Comedy,Other countries,139.75
2003,1483,Kate Hudson,799,How to Lose a Guy in 10 Days,Romance,America,114.75
2010,368,Kate Mara,993,127 Hours,Biography,Asia,22.5
2015,368,Kate Mara,620,The Martian,Drama,America,104.5
2016,589,Kate McKinnon,968,Ghostbusters,Comedy,America,20.5
#N/A,1064,Kate Nauta,486,Transporter 2,#N/A,#N/A,#N/A
2011,1382,Kate Winslet,492,Contagion,Drama,America,189
2014,1382,Kate Winslet,14,Divergent,#N/A,Other countries,107.5
2004,1382,Kate Winslet,895,Eternal Sunshine of the Spotless Mind,Romance,Other countries,84.5
2004,1382,Kate Winslet,831,Finding Neverland,Biography,America,87.25
2015,1382,Kate Winslet,910,Insurgent,#N/A,America,132.75
2008,1382,Kate Winslet,911,Revolutionary Road,Romance,America,164.5
2006,1382,Kate Winslet,661,The Holiday,Romance,America,50.75
2008,1382,Kate Winslet,953,The Reader,Romance,Other countries,69
1997,1382,Kate Winslet,933,Titanic,Romance,America,42.25
#N/A,1714,Katharine Ross,636,Butch Cassidy and the Sundance Kid,Biography,#N/A,#N/A
1967,1714,Katharine Ross,284,The Graduate,Romance,Asia,57.25
2007,1465,Katherine Heigl,369,Knocked Up,Romance,Other countries,113.75
2009,1465,Katherine Heigl,695,The Ugly Truth,Romance,Other countries,133.75
1985,1304,Katherine Helmond,199,Brazil,Drama,America,47.75
2016,1369,Katherine Waterston,153,Fantastic Beasts and Where to Find Them,#N/A,America,92.25
2003,908,Kathryn Hahn,799,How to Lose a Guy in 10 Days,Romance,America,114.75
2013,908,Kathryn Hahn,148,The Secret Life of Walter Mitty,Comedy,America,110.75
2011,1627,Kathy Bates,334,Midnight in Paris,Romance,America,85.25
1990,1627,Kathy Bates,832,Misery,Drama,America,80
1997,1627,Kathy Bates,933,Titanic,Romance,America,42.25
#N/A,903,Katie Featherston,882,Paranormal Activity,#N/A,#N/A,#N/A
2015,72,Kaya Scodelario,264,Maze Runner: The Scorch Trials,#N/A,America,112.25
2014,72,Kaya Scodelario,100,The Maze Runner,Sci-Fi,America,156.25
2005,489,Keanu Reeves,242,Constantine,#N/A,America,149
1992,489,Keanu Reeves,94,Dracula,#N/A,America,128.5
2014,489,Keanu Reeves,516,John Wick,#N/A,Asia,48.5
1994,489,Keanu Reeves,745,Speed,#N/A,America,103.25
1997,489,Keanu Reeves,344,The Devil's Advocate,Drama,America,76.75
1999,489,Keanu Reeves,547,The Matrix,#N/A,America,30.75
2003,489,Keanu Reeves,337,The Matrix Reloaded,#N/A,Asia,13
#N/A,489,Keanu Reeves,971,The Matrix Revolutions,#N/A,#N/A,#N/A
1964,321,Keenan Wynn,407,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,America,59.25
#N/A,1834,Keiko Tsushima,67,Shichinin no samurai,Drama,#N/A,#N/A
1968,1591,Keir Dullea,736,2001: A Space Odyssey,#N/A,America,85.75
2014,1358,Keir Gilchrist,681,It Follows,#N/A,America,34.75
2007,1644,Keira Knightley,870,Atonement,Romance,America,128.25
2007,1644,Keira Knightley,691,Pirates of the Caribbean: At World's End,#N/A,America,112.5
2006,1644,Keira Knightley,495,Pirates of the Caribbean: Dead Man's Chest,#N/A,Europe,5.25
2003,1644,Keira Knightley,756,Pirates of the Caribbean: The Curse of the Black Pearl,#N/A,America,56.5
2005,1644,Keira Knightley,974,Pride & Prejudice,Romance,America,113
2014,1644,Keira Knightley,530,The Imitation Game,Biography,America,107
2000,711,Keith David,163,Pitch Black,Sci-Fi,America,105
#N/A,711,Keith David,878,Platoon,Drama,#N/A,#N/A
1982,711,Keith David,967,The Thing,#N/A,Other countries,180.5
2000,660,Kelley,473,How the Grinch Stole Christmas,Comedy,Other countries,172.75
#N/A,905,Kelly Macdonald,51,Brave,Comedy,#N/A,#N/A
1986,362,Kelly McGillis,331,Top Gun,Drama,America,50.75
1996,1814,Kelly Preston,507,Jerry Maguire,Romance,America,150.5
1999,573,Kelsey Grammer,930,Toy Story 2,Comedy,America,145.25
2006,935,Ken Davitian,653,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,America,167
1998,810,Ken Leung,757,Rush Hour,Comedy,Africa,7
2004,810,Ken Leung,466,Saw,#N/A,Other countries,121.25
2013,1443,Ken Stott,224,The Hobbit: The Desolation of Smaug,#N/A,Asia,16.75
2005,101,Ken Watanabe,586,Batman Begins,#N/A,Asia,45.25
2014,101,Ken Watanabe,480,Godzilla 2,#N/A,Other countries,167
2010,101,Ken Watanabe,913,Inception,#N/A,America,101.75
2003,101,Ken Watanabe,517,The Last Samurai,Drama,America,51.5
2008,523,Kenneth Branagh,951,Valkyrie,Drama,America,73.75
2014,971,Keri Russell,731,Dawn of the Planet of the Apes,Drama,Other countries,52
2000,885,Kerr Smith,657,Final Destination,#N/A,Asia,20.75
2012,448,Kerry Washington,780,Django Unchained,Drama,America,138.5
2006,448,Kerry Washington,979,The Last King of Scotland,Biography,Africa,8.5
#N/A,932,Kevin Bacon,309,A Few Good Men,Drama,#N/A,#N/A
1995,932,Kevin Bacon,703,Apollo 13,Drama,America,10.75
2003,932,Kevin Bacon,364,Mystic River,Drama,Asia,16
1996,932,Kevin Bacon,406,Sleepers,Drama,America,95.25
2011,932,Kevin Bacon,884,X: First Class,#N/A,Asia,68.75
1990,1632,Kevin Costner,990,Dances with Wolves,Drama,America,107.25
2016,1632,Kevin Costner,767,Hidden Figures,Biography,America,115.5
1991,1632,Kevin Costner,243,Robin Hood: Prince of Thieves,Drama,Other countries,81.25
1987,1632,Kevin Costner,366,The Untouchables,Drama,America,105.5
1995,1632,Kevin Costner,358,Waterworld,#N/A,Asia,61.5
2016,327,Kevin Hart,286,The Secret Life of Pets,Comedy,America,144
2010,1138,Kevin James,360,Grown Ups,Comedy,Other countries,114.75
2005,1138,Kevin James,949,Hitch,Romance,America,125.75
2012,1138,Kevin James,908,Hotel Transylvania,Comedy,Other countries,113.25
2011,41,Kevin Kline,569,No Strings Attached,Romance,America,41.75
2010,1414,Kevin McKidd,696,Percy Jackson & the Olympians: The Lightning Thief,#N/A,Asia,19
1996,1414,Kevin McKidd,75,Trainspotting,Drama,America,181
1987,587,Kevin Peter Hall,176,Predator,#N/A,Asia,14.75
#N/A,686,Kevin Spacey,3,21,Drama,#N/A,#N/A
1998,686,Kevin Spacey,807,A Bug's Life,Comedy,America,118.5
1999,686,Kevin Spacey,287,American Beauty,Drama,America,107.5
2001,686,Kevin Spacey,181,K-PAX,Drama,Asia,28.75
1997,686,Kevin Spacey,981,L.A. Confidential,Drama,America,140.5
#N/A,686,Kevin Spacey,652,Moon,Drama,#N/A,#N/A
1995,686,Kevin Spacey,109,Se7en,Drama,America,34.25
2006,686,Kevin Spacey,693,Superman Returns,#N/A,America,34.75
1995,686,Kevin Spacey,356,The Usual Suspects,#N/A,America,177.75
1998,406,Kiefer Sutherland,510,Dark City,#N/A,America,8.5
2002,406,Kiefer Sutherland,53,Phone Booth,#N/A,Other countries,141.75
2010,533,Kieran Culkin,435,Scott Pilgrim vs. the World,Comedy,America,81.25
#N/A,1679,Kim Basinger,619,8 Mile,Music,#N/A,#N/A
1989,1679,Kim Basinger,248,Batman,#N/A,America,142.75
1997,1679,Kim Basinger,981,L.A. Confidential,Drama,America,140.5
1985,202,Kim Greist,199,Brazil,Drama,America,47.75
1958,159,Kim Novak,84,Vertigo,Romance,America,60
1998,1226,Kirk Acevedo,391,The Thin Red Line,Drama,Other countries,123.75
1994,1762,Kirsten Dunst,801,Interview with the Vampire: The Vampire Chronicles,Drama,America,144.5
1995,1762,Kirsten Dunst,729,Jumanji,Comedy,America,125
2002,1762,Kirsten Dunst,886,Spider-Man,#N/A,Other countries,162.5
2004,1762,Kirsten Dunst,96,Spider-Man 2,Sci-Fi,America,6.75
2007,1762,Kirsten Dunst,827,Spider-Man 3,#N/A,America,141.5
1981,1377,Klaus Wennemann,333,Das Boot,Drama,Other countries,70.25
2014,1269,Kodi Smit-McPhee,731,Dawn of the Planet of the Apes,Drama,Other countries,52
2009,1269,Kodi Smit-McPhee,946,The Road,Drama,Asia,14.25
1998,58,Kris Kristofferson,402,Blade,#N/A,Other countries,164.5
2002,58,Kris Kristofferson,220,Blade II,#N/A,Asia,24.25
2003,1191,Kristanna Loken,748,Terminator 3: Rise of the Machines,#N/A,America,181
2008,12,Kristen Bell,170,Forgetting Sarah Marshall,Romance,America,122.5
2013,12,Kristen Bell,277,Frozen,Comedy,America,155.25
2000,1473,Kristen Cloke,657,Final Destination,#N/A,Asia,20.75
2011,677,Kristen Connolly,550,The Cabin in the Woods,Comedy,America,134.75
2002,1613,Kristen Stewart,328,Panic Room,Drama,America,61.25
2012,1613,Kristen Stewart,802,Snow White and the Huntsman,Drama,America,46.5
2011,1613,Kristen Stewart,515,The Twilight Saga: Breaking Dawn - Part 1,Drama,America,80.75
#N/A,1613,Kristen Stewart,531,The Twilight Saga: Breaking Dawn - Part 2,Drama,#N/A,#N/A
2010,1613,Kristen Stewart,383,The Twilight Saga: Eclipse,Drama,America,73
2009,1613,Kristen Stewart,112,The Twilight Saga: New Moon,Drama,Other countries,105.75
2008,1613,Kristen Stewart,766,Twilight,Romance,America,87.75
2011,774,Kristen Wiig,83,Bridesmaids,Romance,America,123.5
2013,774,Kristen Wiig,963,Despicable Me 2,Comedy,America,65.75
2016,774,Kristen Wiig,968,Ghostbusters,Comedy,America,20.5
2015,774,Kristen Wiig,620,The Martian,Drama,America,104.5
2013,774,Kristen Wiig,148,The Secret Life of Walter Mitty,Comedy,America,110.75
1996,1813,Kristin Scott Thomas,817,The English Patient,Romance,America,106
2011,176,Kurt Fuller,334,Midnight in Paris,Romance,America,85.25
2007,1103,Kurt Russell,504,Death Proof,#N/A,America,100.25
2007,1103,Kurt Russell,380,Grindhouse,#N/A,America,173
1994,1103,Kurt Russell,386,Stargate,#N/A,America,168.5
2015,1103,Kurt Russell,393,The Hateful Eight,Drama,America,82.5
1982,1103,Kurt Russell,967,The Thing,#N/A,Other countries,180.5
2001,1103,Kurt Russell,396,Vanilla Sky,Romance,Other countries,106.75
2016,1534,Kyle Chandler,743,Manchester by the Sea,Drama,Other countries,126.5
2011,1534,Kyle Chandler,633,Super 8,#N/A,America,139.25
#N/A,1141,Kyle Gallner,571,American Sniper,Biography,#N/A,#N/A
#N/A,826,Kyle MacLachlan,521,Blue Velvet,Drama,#N/A,#N/A
2016,427,Lake Bell,286,The Secret Life of Pets,Comedy,America,144
2004,1341,Lance Henriksen,642,AVP: Alien vs. Predator,#N/A,America,91.25
#N/A,1546,Lara Flynn Boyle,982,Men in Black II,Comedy,#N/A,#N/A
2009,384,Lara Robinson,549,Knowing,Drama,America,102.25
2000,169,Lari White,365,Cast Away,Romance,America,154.75
1999,285,Larisa Oleynik,529,10 Things I Hate About You,Romance,Europe,9.25
2006,1292,Larry the Cable Guy,641,Cars,Comedy,Asia,38
2012,1630,Lasse Fogelstrøm,880,Jagten,Drama,America,116.25
#N/A,898,Laura Dern,521,Blue Velvet,Drama,#N/A,#N/A
1993,898,Laura Dern,737,Jurassic Park,#N/A,Other countries,101.25
2014,898,Laura Dern,614,The Fault in Our Stars,Romance,America,44.25
#N/A,593,Laura Harring,212,Mulholland Dr.,Drama,#N/A,#N/A
